epoch,train_loss,test_loss,train_accuracy,test_accuracy
632,0.1414,2.4231,0.9592,0.49
633,0.1362,2.7422,0.9636,0.449
634,0.1316,2.5124,0.9676,0.477
635,0.1467,2.5661,0.9626,0.494
636,0.1294,2.6982,0.9642,0.472
637,0.1385,2.4595,0.9642,0.504
638,0.1382,2.7013,0.9686,0.474
639,0.1338,2.6356,0.9674,0.464
640,0.1372,2.5126,0.96,0.462
641,0.1348,2.5488,0.9652,0.475
642,0.1373,2.7421,0.9622,0.489
643,0.1229,2.5211,0.9672,0.471
644,0.1382,2.9209,0.9646,0.455
645,0.1252,2.854,0.9686,0.456
646,0.1501,2.7579,0.9634,0.485
647,0.143,2.8937,0.9622,0.461
648,0.1422,2.6723,0.9626,0.459
649,0.1289,2.8245,0.9684,0.459
650,0.1167,2.8683,0.9694,0.469
651,0.1282,2.6411,0.9666,0.482
652,0.121,2.6088,0.9706,0.498
653,0.1232,2.6416,0.9694,0.468
654,0.1188,2.7451,0.9698,0.471
655,0.121,2.7109,0.9684,0.468
656,0.1288,2.5465,0.971,0.478
657,0.1246,2.7381,0.9656,0.478
658,0.1383,2.7155,0.9664,0.499
659,0.1194,2.4455,0.9712,0.474
660,0.1269,2.6789,0.9658,0.469
661,0.1407,2.2136,0.9618,0.504
662,0.1099,2.538,0.9714,0.471
663,0.1127,2.689,0.9722,0.491
664,0.1291,2.5765,0.9662,0.468
665,0.1334,2.5196,0.9646,0.475
666,0.1188,2.8499,0.9672,0.468
667,0.123,2.3638,0.971,0.495
668,0.1273,2.5582,0.9662,0.465
669,0.1237,2.7782,0.968,0.48
670,0.1306,2.8274,0.9654,0.482
671,0.1404,2.6987,0.9634,0.461
